#TIC_ID Sector Camera CCD 
24922926 sector03 1 2 
29902065 sector03 1 2 
10841998 sector03 1 2 
164791310 sector03 1 2 
10819567 sector03 1 2 
404467572 sector03 1 2 
29929215 sector03 1 2 
164775052 sector03 1 2 
54003280 sector03 1 2 
29929597 sector03 1 2 
302378348 sector03 1 2 
24924595 sector03 1 2 
439409902 sector03 1 2 
54003048 sector03 1 2 
92983354 sector03 1 2 
441497841 sector03 1 2 
439406363 sector03 1 2 
257461482 sector03 1 2 
92993394 sector03 1 2 
423725687 sector03 1 2 
257434081 sector03 1 2 
25385305 sector03 1 2 
290172678 sector03 1 2 
257504899 sector03 1 2 
32495864 sector03 1 2 
54017225 sector03 1 2 
266747463 sector03 1 2 
28126996 sector03 1 2 
290170296 sector03 1 2 
439402423 sector03 1 2 
299200155 sector03 1 2 
469968117 sector03 1 2 
212377960 sector03 1 2 
136885277 sector03 1 2 
266815250 sector03 1 2 
29920247 sector03 1 2 
29929142 sector03 1 2 
63771073 sector03 1 2 
439501579 sector03 1 2 
24924603 sector03 1 2 
32550928 sector03 1 2 
32535519 sector03 1 2 
92983398 sector03 1 2 
439412904 sector03 1 2 
93018388 sector03 1 2 
382328609 sector03 1 2 
299200099 sector03 1 2 
423752555 sector03 1 2 
92995057 sector03 1 2 
28128263 sector03 1 2 
212380843 sector03 1 2 
404465787 sector03 1 2 
290168066 sector03 1 2 
54002793 sector03 1 2 
29902094 sector03 1 2 
266716646 sector03 1 2 
54001782 sector03 1 2 
29918408 sector03 1 2 
164773585 sector03 1 2 
266680461 sector03 1 2 
266721477 sector03 1 2 
62382874 sector03 1 2 
290169461 sector03 1 2 
441493510 sector03 1 2 
29846639 sector03 1 2 
29918317 sector03 1 2 
29852926 sector03 1 2 
164698940 sector03 1 2 
299121497 sector03 1 2 
382340579 sector03 1 2 
287175168 sector03 1 2 
287175175 sector03 1 2 
257482229 sector03 1 2 
54016810 sector03 1 2 
63784244 sector03 1 2 
439500893 sector03 1 2 
63771761 sector03 1 2 
